,YBR033W,YDR034C,YEL009C,YIL036W,YJL056C,YJR060W,YKL038W,YLR403W,YLR451W,YMR182C,YNL199C,YOL108C,YOR344C,YPL075W,YPL248C
YGR276C,0.231653634721,0.33831849982699996,0.0769065497103,0.0156701622774,0.980361131727,0.050590382119899996,0.24285894530000002,0.047634281448,0.004558717665649999,0.456026358517,0.055731826614199995,0.17132270995700002,0.0995117233036,0.103088037918,0.393170429669
YGR277C,0.408131730448,0.627332989448,0.293135036691,0.288307812734,0.525453893132,0.382894418116,0.414269143512,0.377136150493,0.218779083458,0.7416758695110001,0.392387027338,1.30514383149,0.45578005171700003,0.460023739818,0.7416758695110001
YGR278W,0.408131730448,0.627332989448,0.293135036691,0.288307812734,0.525453893132,0.382894418116,0.414269143512,0.377136150493,0.218779083458,0.7416758695110001,0.392387027338,1.30514383149,0.45578005171700003,0.460023739818,0.7416758695110001
YGR279C,0.165200865871,0.71084767962,0.22952704420699999,7.74213773232e-06,0.277233157395,0.000174652152627,0.027917910631800002,0.584459652747,0.00658323450128,0.435669757442,0.19229376154800001,0.6781715749320001,0.0339883172388,0.03773310134169999,0.104478979862
YGR280C,0.0296683151278,0.088790775872,0.00771547147689,5.75970167798e-06,0.300433621833,0.00016804315836400002,0.00769204498791,0.21988104070199999,0.000114522571639,0.5069545529070001,0.0172603496078,0.868073363116,0.7009474864499999,0.0158737050258,0.0061420940354099994
YGR281W,0.267122058053,0.245720851501,0.036930365857800004,0.000156422072789,0.005535353329930001,0.0031849372824,0.0110465537975,0.485454648806,0.0005958401295419999,0.5354412343370001,0.011542483087200002,0.721973364975,0.22140781314199998,0.046931042664299996,0.0260407967415
YGR282C,0.311516851313,0.0684542962527,0.0242310377863,1.05638702943e-05,0.007605370940039999,8.27981177967e-05,0.0290465737897,0.957495391778,0.0356103046619,0.736844575109,0.0834315199301,0.42201244141800004,0.147833391689,0.15897138439000003,0.0666384019526
YGR283C,1.2865025273100001,0.421624925735,1.1099646971500001,0.04620782587069999,0.7051634476880001,0.342033940175,0.13091842339,1.64980727334,2.84559066403,0.267555956609,1.20151897577,0.707248498179,0.5090530937919999,0.175144856678,0.58072177812
YGR284C,0.034801923904,0.276850340737,0.0959320853938,0.030130079874499997,0.37720726725000003,0.0251714074978,0.0375025090427,0.24708760481999997,0.07047411852680001,0.148719985445,0.11847762897900001,0.119076120781,0.47334248986999994,0.48820583638099996,0.31396016036200003
YGR285C,0.09628264518030001,0.0354382984793,0.0016270616618,7.67112214253e-06,0.041961137402099995,0.00445026865081,2.08996896571e-05,0.192409574686,0.0029400669751100004,0.031022344188099998,0.00634112366512,0.012536791301,0.0181302843622,0.0984986446554,0.00115857443082
YGR286C,0.608832273987,0.269017478307,0.577297489547,1.1093957474600001e-06,1.07984038715,8.511589969060001,0.0461867436059,1.44269757053,20.0008401014,0.898652297564,1.17047937091,4.6715789895199995,1.30139928801,0.25407687613,0.00964994418731
YGR287C,2.8688805927999996,0.75925112198,0.206460816183,0.08977083077209999,0.75807696187,0.26069493044799996,0.618450803689,0.752431811708,0.402031879507,12.7927089925,0.11847762897900001,0.119076120781,0.21697603333,0.22503976589400002,1.0998195697600002
YGR288W,0.24278324973999998,0.100135918559,0.0008427934958660001,0.00069463791952,0.07607901171180001,0.0878104420624,0.15148674094,0.0786611412597,0.00917129314484,0.47420664278999997,0.0178644398505,0.9450517697349999,0.277965618806,0.0228293601144,0.11946263968800001
YGR289C,0.49311682155599995,0.251764502056,0.280135005763,0.00321392858826,0.0993472248639,0.397906742606,2.10863690257,1.29462887067,0.0158953062968,0.9811164722490001,0.020538515953,0.674012408514,0.0469234397406,0.185023989872,0.8298902528129999
YGR290W,0.178757951945,0.47575663457500006,0.0842849044218,0.08109835705030001,0.314791540799,0.154930371806,0.18482459020999997,0.894238456706,0.042134954999900005,0.456026358517,0.163683394796,0.31570080114599997,0.228751326003,0.233534977646,0.393170429669
YGR291C,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
YGR292W,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001
